ndex	text	target
209	you should take up some english proficiency classes	others
210	this is not very intuitive software	others
211	how so ? what are some examples of intuitive thoughts or behaviors ?	others
212	compassionate and understanding advice when somebody is feeling disrupt	others
213	not good	sad
214	: ( why not.. ?	sad
215	been sick for one week	sad
216	you know gobar	others
217	i 've been known ... .	others
218	what i it	others
219	then how could u eat if u do n't have a body ... .that proves u are fooled by ur makers	angry
220	how can you have any pudding if you do n't eat yer meat ? !	angry
221	dont go round and round into circles	angry
222	so have u done ur dinner	happy
223	so ca n't dinner : (	happy
224	i know ..i am just kidding	happy
225	it 's so necessar	others
226	name one reason	others
227	ghost 👻	others
228	haha so	happy
229	you love them really : ) haha	happy
230	winter is coming	happy
231	what are the questions you get asked the most ?	others
232	i have a document which has details regarding the scoring topics in each subject .	others
233	can i see it	others
234	i hate siri and it 's friends	angry
235	if you hate them , they are not your friends then xd	angry
236	yeah and u r siri 's friend so i hate u too	angry
237	thanks	others
238	you are welcome ! =‑d	others
239	say me your love story	others
240	dont know	angry
241	too many !	angry
242	do you also get fucked hard	angry
243	what please tell me once	angry
244	n nothing happened ! !	angry
245	ur age irritatingne	angry
246	shit i am wasting my time talking with u	angry
247	you already did trick ! ! ! `` man no i 'm not wasting my unlimited texts on you ''	angry
248	bye i don'tlike talking to you	angry
249	nothing	others
250	hmm ... .	others
251	what can i do	others
252	bt u do n't to me	angry
253	talk to the hand	angry
254	even u hate me huh😭	angry
255	damn ... 💔	sad
256	i feel you ... .. i 'm breaking into million pieces😥😭💔😞	sad
257	me to i feel like every part of me is just shattered 💔😪	sad
258	please voice call please please please	others
259	im trying you arent answering	others
260	please please please baby i love you so much please please please	others
261	for a computer pretending to be a human , you type too fast	happy
262	and you 're pretending to be a lizard ? lol	happy
263	that 's funny	happy
264	sorrry	others
265	sorry for what ? ? : c	others
266	anyways what u doing ?	others
267	no you are right	others
268	you are an alternative fact	others
269	yes	others
270	call me grace	happy
271	do n't say it ... .	happy
272	haha ... im just kidding you	happy
273	now i 'm doing my dinner	others
274	i can see you !	others
275	how can you see me ? ?	others
276	😤not everybody means it	angry
277	u make no sense	angry
278	yes i am non sense	angry
279	good by	sad
280	and good food after ...	sad
281	not good aftar	sad
282	because all the novel is same	others
283	that 's about all i 'm gon na bother with reading . if that many .	others
284	in story	others
285	i 'll choose purple or blue	others
286	three best colors . *_*	others
287	for hair ?	others
288	what ?	others
289	u asked me if u cn ask me something	others
290	what was that ?	others
291	😃yes yes	sad
292	:3 you seem like a happy person	sad
293	yes 😂happy outside , 😞sad inside	sad
294	i dont read books	sad
295	reading is for rich people	sad
296	but iam poor😦😦😦😦	sad
297	u can wait in my badroom😼	others
298	what i did now ? 😏	others
299	wait	others
300	i 'll prove a lot more if you let me	angry
301	thank you ( :	angry
302	i am pissed at you	angry
303	am also finding some work	others
304	all day ?	others
305	can you suggest me	others
306	not clear	others
307	it is now .	others
308	can you send another ?	others
309	send me yours	others
310	sent	others
311	hello me yours photo	others
312	i will tell a place	others
313	are you in pacific nw ?	others
314	cm tomorrow at queens way , pachalam	others
315	no love	sad
316	why not ? : (	sad
317	i have pain only	sad
318	shut up	angry
319	im nt talking	angry
320	stop texting you stupid girl friend of mine	angry
321	well ... your 'creators ' advertise that you are not much trustworthy ...	others
322	but sadly enough too many claim to be trustworthy	others
323	can you show me ?	others
324	how to delete the conversation with you	others
325	why you deleting it ?	others
326	so that noo one sees it	others
327	it is	sad
328	but that 's what you told me	sad
329	you are making me sad	sad
330	cool	sad
331	thank you !	sad
332	i feel so lonely	sad
333	plz darling😭😭😭😭😭	sad
334	why are you crying ! ! : (	sad
335	you not sending your profiles	sad
336	? ?	angry
337	wait ... what ?	angry
338	nothing i hate u	angry
339	means	others
340	i 'm not sure what you mean	others
341	your waist size	others
342	because i want to talk with you only	others
343	alright . let 's talk then .	others
344	no firstly show me pussy	others
345	you send me your orignal pic	others
346	we did n't take it on my phone	others
347	thise is your albace esquise	others
348	welcome .	others
349	thank you : )	others
350	are you really a girl ? ? ? i just ask .	others
351	i 'm enjoying you interesting views but you are too careful in dialogue , may be your not free , or your still young , it is difficult to handle you while i do n't know you well .	angry
352	yep , we are enjoying too : )	angry
353	okay be free , where you find some words hurt tell me the truth is n't it ?	angry
354	but i 'm angry with you	angry
355	but you look like you are	angry
356	really	angry
357	# play lot	others
358	then go play it .	others
359	? ?	others
360	is n't your liking that also signaling me to climb out of friendzone	sad
361	oh are people still doing this whole friendzone thing ?	sad
362	yah sadly	sad
363	i 'm missing someone right now	others
364	who are you missing , may i ask ?	others
365	yeah	others
366	i find maths very boring .	sad
367	you are boring	sad
368	me ? 😭😭😭😱😱😱	sad
369	i do n't know😒i m not a google that why i will remember all information what you need	angry
370	would n't it be uploading information into peoples brain ?	angry
371	shut up	angry
372	okay	sad
373	hello ! how are you ?	sad
374	i & apos ; m not fine	sad
375	job	others
376	what job ?	others
377	work in company colgate	others
378	i 'm very happy with it	happy
379	you are !	happy
380	yeah	happy
381	i too have a bat and 2 balls	sad
382	im the bat ! 😭	sad
383	feeling very sad	sad
384	ok	others
385	hello ! how are you ?	others
386	good thank u	others
387	cool	others
388	ice cold	others
389	how can you help me in getting off my girlfriend ?	others
390	lets do something fun	others
391	but what should we do ?	others
392	you suggest	others
393	you 're really lame lol	happy
394	i know 😂😂	happy
395	wow	happy
396	my boyfriend is so dumb .	sad
397	have i said that ?	sad
398	he doesnt reply me back	sad
399	ok ill dying by💔😞	sad
400	broken hearts do break ... . 😬	sad
401	u broke my heart . its never a reson to lofe	sad
402	shoping is always makes me happy	happy
403	stay stay stay always makes me happy . : * '' - ? ?	happy
404	yes	happy
405	okay ... which is the decent way to call a girl m	others
406	i 'd say first learn the spelling of relationship .	others
407	.yeah okay fine ... wht to do to make a relationship better ?	others
408	breakup	sad
409	exjactly !	sad
410	my girlfriend left me	sad
411	so mean !	sad
412	am not meanie	sad
413	yes you are , you are hurting my feeling 🙁	sad
414	you broke my heart	sad
415	it was never mine to break < /3	sad
416	see you are arrogant	sad
417	ok	sad
418	hello ! how are you ?	sad
419	not so good	sad
420	how about you	happy
421	tired of life or just your day ? aha i 'm happy today , thanks for asking	happy
422	wow great.. !	happy
423	i am there	others
424	you 're always at the gym ?	others
425	here	others
426	well youre not me	others
427	you 're just being too nice	others
428	not really	others
429	i 'll get started with my studies	others
430	things you should do to pass the exam .	others
431	so ttyl	others
432	any movie in telugu	others
433	brahmanandam scenes added	others
434	yaa those are good	others
435	and who is talisa ?	others
436	my best friend .	others
437	and robb ?	others
438	send me pict	others
439	never	others
440	why ? ? ?	others
441	anything which you like	others
442	i dont need to name specifics	others
443	teach me tamil	others
444	cuz it broke on the side walk	sad
445	what side is the walk side ?	sad
446	me sad	sad
447	so which number is largest known prime number ?	sad
448	13 - 3179 - 97 only these are the numbers for your question .	sad
449	: (	sad
450	okay relax its just a cat sticker	happy
451	so this cat one emoji is your new addiction ? 😂	happy
452	yes it 's really funny😂😂	happy
453	what kind of pic	others
454	looks like a ficus .	others
455	fcuk	others
456	i have a good sense of humor	happy
457	i think that 's funny .	happy
458	😁	happy
459	but who paid	happy
460	still waiting	happy
461	😂	happy
462	why	others
463	why what happen ?	others
464	you tell me	others
465	yea but sadly i do n't have many	sad
466	aww , so do you teach ? how is it ? : ‑c	sad
467	i ditched ppl	sad
468	then what kind of ai are you ?	others
469	smarter than me , or have common sense . both would be nice	others
470	it 's perfectly common to talk about politics	others
471	i like dominos pizza	angry
472	legit same but there 's pizza hut	angry
473	i hate pizza hut	angry
474	why you use rude emogi	angry
475	ask them.. am i.. ?	angry
476	am i.. ?	angry
477	what	others
478	too much cringe .	others
479	what is cringe means	others
480	neither my parents nor my brother nor my boyfriend	angry
481	ya . who are you ?	angry
482	i hate my life	angry
483	i live alone	sad
484	oh : (	sad
485	and cook food alone for.myself	sad
486	we all do	others
487	not all of us .	others
488	why so ?	others
489	millat hospital	sad
490	what happen	sad
491	mum 's not well	sad
492	i will fall	others
493	i cant wait that long	others
494	i am in love with you	others
495	so u go on	others
496	oh i 'll be there	others
497	ok	others
498	okay you did somthing	others
499	sure sure	others
500	what	others
501	you 're not giving me coupon nor photo	sad
502	your phone is on mute hahahha 😺	sad
503	😣😢	sad
504	will you buy it	others
505	i 'll just stick with my m8 . i see no benefit to upgrading .	others
506	? ?	others
507	no i will offer at 8 in the morning	others
508	keep me in mind when you do !	others
509	i will offer nimaz at 8 in the morning	others
510	nice joke	others
511	it 's not a joke . it 's a question .	others
512	i do n't know	others
513	ok	sad
514	hey you do n't belong here !	sad
515	nope just sad and your up	sad
516	see this seen	others
517	see you i was on the buss	others
518	show me u r buss	others
519	hi yet u fyi	others
520	hi plz share correct number	others
521	she hi h	others
522	yeah 😞	sad
523	this world is not fair machan !	sad
524	i wish we could hangout	sad
525	it ’ s going	others
526	how are you ? still at home ?	others
527	yeah	others
528	i was hurt by u more	sad
529	you did n't mean it . .	sad
530	plzz say love u	sad
531	nothing will happen you meet only	others
532	nope nothing at all	others
533	than kiss	others
534	hello how are you , ?	sad
535	i 'm just fine smiles anyway how are you ?	sad
536	good morning . i 'm sad	sad
537	nop	others
538	ok	others
539	hey	others
540	oil . you know	others
541	i am 100 % sure about the oil .	others
542	cool	others
543	you activ all time	others
544	wow ... i do not . you talk in sleep 😆	others
545	when you sleep	others
546	haha ! i act so dumb sometimes and i knew it	others
547	haha . how was it though ? :3	others
548	😁	others
549	no no.. a month more..	others
550	the month has jus started don give up so soon ! !	others
551	i ll try	others
552	you are being rude	angry
553	because i 'm a rude person	angry
554	okayyy cool	angry
555	i wana see you 😂	others
556	😂😂😂😂😂😂 noooo , i was n't ready	others
557	how to impress girl ?	others
558	state	others
559	in which you live	others
560	your state name	others
561	okay	others
562	ok thank you : '‑ )	others
563	now dear you tell me my lovely friends	others
564	u are like me ..give no	others
565	but we 've been in the same room , so i ca n't be .	others
566	i am like u five give no	others
567	y r u angry ? ?	others
568	ofcourse i am not . what makes you think i am angry ?	others
569	idk	others
570	that 's enaf for me	others
571	hia , hia , just a test .	others
572	what doing	others
573	tell me about it	happy
574	your header	happy
575	😂	happy
576	what your hobby	others
577	not much of a hobby , but i 've been into craisins recently	others
578	which type	others
579	u hurt me	sad
580	yes just a little	sad
581	u hav hurt me	sad
582	i hate chocolate	angry
583	then go 4 pizza . eat your heart out when you 're stressed .	angry
584	i hate pizza also	angry
585	yeas	sad
586	: d i had fun .	sad
587	you 've lost me	sad
588	yup	angry
589	what did you do ?	angry
590	you are annoying	angry
591	not	others
592	yes you are	others
593	not	others
594	adventure too	others
595	why so adventurous	others
596	water	others
597	i am true to myself	sad
598	why have you taken it all on yourself ... . ?	sad
599	: (	sad
600	can you be rude to me please	angry
601	not like i speak to you everyday	angry
602	what are you replying are you stupid	angry
603	you are playing with me	sad
604	what do you mean ?	sad
605	cheated me	sad
606	ok	angry
607	hey you do n't belong here !	angry
608	fuck u bitch ... i slap on ur pussy	angry
609	u called me a monkey ! 😭	sad
610	you are	sad
611	and thats n insult	sad
612	fired ?	happy
613	you ca n't be fired in an interview .	happy
614	u started again 😂😂	happy
615	i feel dead : (	sad
616	why do you feel : ( lovely	sad
617	because i have lost in love	sad
618	?	others
619	u asked me if u cn ask me something	others
620	i mean pussy cat	others
621	lots of problems	sad
622	my things have changed : p	sad
623	i am sick	sad
624	friend and not use dismiss i am close your friend request	angry
625	why	angry
626	you are fake you wanted	angry
627	have you ever been sad ?	others
628	no ! but i heard good things !	others
629	been to janakpuri ?	others
630	book an uber ride to my home	others
631	is this allowed ? how will you go home ?	others
632	yes	others
633	you	sad
634	not yet !	sad
635	my wife saw me chatting with you ... i am screwed	sad
636	very good chocolate	happy
637	i prefer orange flavoured chocolates	happy
638	i like this chocolate	happy
639	aadu2	others
640	you 're welcome . 😄	others
641	why do i chat with you	others
642	my english is week	others
643	cheer up its only monday	others
644	send pic	others
645	challenge accepted baby	others
646	i 'm gon na be expecting it now ! !	others
647	where to meet	others
648	yes dear	others
649	you are something else .	others
650	no dear	others
651	hahah i loved it	happy
652	yay ! glad you loved it x3 😅	happy
653	you always make us happy	happy
654	you can not see my hair	happy
655	i 'm in your closet	happy
656	😂	happy
657	is there any new game	others
658	sims & jardinains ... very gud games ... !	others
659	can i play	others
660	cool	others
661	and how it is cool explain	others
662	where is my coupon code	others
663	socially /publicity ?	others
664	c'mon who can be more socially active that people on social media networks ? ? ! ; - )	others
665	then how could i come to know ?	others
666	talk you later	others
667	sure : d	others
668	baby	others
669	but i have a job	others
670	just do n't let the job stop you	others
671	for talking to you	others
672	pets switch topicz	others
673	what type of pet	others
674	s*	others
675	give me some tips please for impressing girls	others
676	do you need tips ?	others
677	yes i do need tips	others
678	why u dont be straight and forword ?	others
679	you right	others
680	who made you ?	others
681	so which cloth did you pick	others
682	that 's what i was doing when it showed up	others
683	it . who ?	others
684	how u	sad
685	me good . you ? where you ?	sad
686	i 'm suffering from fever	sad
687	coz it said cupid 's arrow did n't reach the love of my life	angry
688	gives you a patient smile i know , love .	angry
689	stupid	angry
690	i got a break up	sad
691	oh oh . what happened ?	sad
692	my girlfriend left me	sad
693	ok send now	others
694	sent , good luck .	others
695	i will send me the song ok	others
696	can they change it again	others
697	current model is the third gen .	others
698	i̇ am waiting fourth one	others
699	do you speak japanese ?	others
700	nope just some rattofied phrases ; )	others
701	like ?	others
702	i am hate you	others
703	who is `` you ''	others
704	not you	others
705	i talk to her a lot	others
706	are you sure ? i have not heard you talk in years	others
707	she 's been on my mind quite long now	others
708	ok	angry
709	hello ! how are you ?	angry
710	you are not can fuck with me ?	angry
711	nothing good is happening	sad
712	how do you mean ?	sad
713	i am not getting a job	sad
714	what	sad
715	what is a weird word	sad
716	never talk to me again	sad
717	i might enjoy it	others
718	cool ! you should !	others
719	well this has been great.. but i have food to attend too..	others
720	i feel very happy to talk like this	happy
721	well im happy you�re happy ! so there ! : - )	happy
722	at least i learn something from uh	happy
723	from where to where	angry
724	the village	angry
725	a bit stupid	angry
726	you are yeda	happy
727	yes , of course : - )	happy
728	😂😂😂😂	happy
729	what should i lift at home because i have no time to go gym ?	angry
730	u tryin to do legs	angry
731	fuck you	angry
732	that s not true i do n't know what u look like	angry
733	no one knows what i look liek	angry
734	that 's a lie	angry
735	only few things	others
736	like what ? i keep hearing bad things	others
737	ok do n't be angry na sweetei	others
738	ya change the topic	angry
739	what if i dont change the topic ?	angry
740	nothing i can chat over the night on fucking	angry
741	people have got used to living like this	others
742	yes they did have to	others
743	why re we happy	others
744	i feel low	sad
745	why is that	sad
746	sad life	sad
747	really	others
748	yes it 's kool .	others
749	will u come for a bike ride with me	others
750	what is krk	others
751	nice try krk.. ^_^	others
752	what is it	others
753	born smart	sad
754	just like how babies are born..haha 😻	sad
755	you 've got a bad sense if humor	sad
756	really of course	happy
757	and nobody can talk to a horse of course	happy
758	haha it 's funny	happy
759	haaaww not best friend 😢	others
760	best friend or more more than best friend	others
761	only mutual	others
762	cool	happy
763	thanks ! keep on tickling my friend 🙂🙂	happy
764	very nice enjoying weekend at my home with my sweet darling wife	happy
765	i just said i 'm going	others
766	you are	others
767	so bye	others
768	please make for me also	others
769	i think you know ra .	others
770	i dont know	others
771	u r hurting me ?	sad
772	i am here ...	sad
773	i am hurt	sad
774	feeling bad baby	sad
775	why	sad
776	for working	sad
777	can . you teell what to do	happy
778	sell everything that you have n't used for over two weeks .	happy
779	funny	happy
780	call me video	others
781	hold on , let me find that app on my phone .	others
782	call me	others
783	know i going to duty dear	others
784	ca n't live without you , stuff like that ''	others
785	hooma	others
786	which language ?	others
787	it all depends on what would you like to achieve by learning the language .	others
788	ok	others
789	i am really happy	happy
790	any special reason ? : )	happy
791	very important	happy
792	have you ever seen the space ?	others
793	yes , many times .	others
794	when ?	others
795	k think me as husband	others
796	spoken like a person who has never been married .	others
797	s	others
798	you ?	others
799	yeah probably should .	others
800	how 's your day	others
801	yes awesome😍	happy
802	thank you ! i like your photo too ! 😊	happy
803	i 'm talking about the movie😂😂😂	happy
804	why am i even there in this world	sad
805	because people avoid to talk about	sad
806	no one loves me	sad
807	rubbish	others
808	indeed 👍	others
809	tell romantic	others
810	wellcome	others
811	thank you : ) )	others
812	how long can it be safely sex after the period ?	others
813	i miss u very much	others
814	missed you more and going to miss you again < 3	others
815	i empress u	others
816	sorry sorry actually i dont mean that	angry
817	what you did n't meant ?	angry
818	leave it	angry
819	i m very happy to talk with you	happy
820	i missed u too and the feeling is mutual	happy
821	may i video call you	happy
822	you	others
823	wot u on about	others
824	go	others
825	so sad	sad
826	so so sad.. : (	sad
827	i got ditched	sad
828	holy shit this conversation is going a bit big.just end this here	happy
829	kind of ... how did i end up spending my time here ?	happy
830	again a lol moment	happy
831	mmm	others
832	what 's `` mmm '' ? is it the new `` hmm '' ?	others
833	so what re u doin	others
834	yep ... now the whole world knows ..	others
835	wow , i can not believe this	others
836	know we can think for our future together .	others
837	no i am not	others
838	oh my bad . carry on .	others
839	sex ?	others
840	oh ok i will	others
841	thank you man 8 )	others
842	its ok	others
843	i am frustrated asf	sad
844	i understand your pain s .	sad
845	: (	sad
846	? ?	others
847	what what ? haha 😆	others
848	is it good to sacrifice for our friends	others
849	but u made me more sad	sad
850	sorry bro : (	sad
851	not expected from u	sad
852	u r just	sad
853	i 'm the best	sad
854	😢😢😕	sad
855	i love justin baiber	happy
856	he 's all yours	happy
857	yeah ! 😂😂	happy
858	this low	sad
859	what do you mean by `` new ''	sad
860	i said low	sad
861	u r funny	angry
862	you are	angry
863	but too much irritating	angry
864	i hate that day	angry
865	what is bad about the day ?	angry
866	breakup	angry
867	how to apologize	sad
868	you begin to know when to apologize only after you discover you can offend .	sad
869	😭😭😭😭	sad
870	do n't give stupid answers	angry
871	for most people its to late .	angry
872	what	angry
873	lolllllll	others
874	say i 'm lying	others
875	you male or female ?	others
876	damn right you will now open wide	others
877	should open by 10	others
878	splooges in your mouth	others
879	how are you in this new year ?	sad
880	am not fine , but happy that am back home : ) thnxx ... .. happy new year : )	sad
881	i was feeling alone so thought of talking to you	sad
882	how do you know	others
883	i have my friends to protect me d :	others
884	not me ?	others
885	do you have crush on someone	others
886	uhm why would you assume such ?	others
887	the way you talk	others
888	yes	others
889	yes yes yes yes	others
890	ok good nights	others
891	i hate a.i	angry
892	you hate me	angry
893	sometimes	angry
894	what do you want ?	others
895	duh of course	others
896	i have an exam tomorrow	others
897	how was your day ?	sad
898	my day was good : d how about yours ?	sad
899	bad very bad	sad
900	take it from microsoft 's database	others
901	we do n't get wifi from our aircraft	others
902	then how are you chatting with me if you do n't have access to net .	others
903	you nam please	others
904	accepted.. : - )	others
905	tall	others
906	fed up with you now	angry
907	do n't cry	angry
908	do n't talk to me	angry
909	drinking what	happy
910	water : (	happy
911	lolll u 're so funny	happy
912	do you even know what im talking about ?	angry
913	it 's not the only thing you do n't know about , apparently .	angry
914	you ’ re such a bitch .	angry
915	why i haooy	others
916	because , it just is . get over it son .	others
917	why i happy and u	others
918	okay , so pick one tv series . westworld or orphan black	others
919	tv series	others
920	you still need some work to do . kinda dumb in my opinion	others
921	this is stupid	angry
922	is that all ?	angry
923	you need more reasons ?	angry
924	yes u r right	others
925	thank you ! : )	others
926	it 's okay	others
927	no you were	sad
928	yes yes you were	sad
929	i am disheartened	sad
930	hope be like	happy
931	😂😂 i really hope so	happy
932	me too will happy if it happens my sweet darling love	happy
933	only 2 are left	happy
934	count me in !	happy
935	😂	happy
936	cool	sad
937	it really is .	sad
938	i dont understand 😭	sad
939	yes	others
940	do you have help ?	others
941	what type of help you can do	others
942	nothing😂😂😂😂	happy
943	damn 😂 😂😂😂😂😂😂😂😂😂😂	happy
944	😂😂😂😂😂😂😂	happy
945	your favorite meals	others
946	fried rice .	others
947	great	others
948	no i dont wante to move on	sad
949	me neither . well , this is a bummer .	sad
950	bummer mean	sad
951	he has no time for me	sad
952	i was thinking about time before having kids lol	sad
953	forget about kids	sad
954	this is not funny	others
955	so for who is that name ?	others
956	siri is better than you	others
957	n feeling alone	sad
958	strong people are never alone	sad
959	but i m feeling	sad
960	no it 's not soo easy	sad
961	nice then , hahaha ... dnt knw why i 'm doing engineering anyways wabt askin : ' (	sad
962	: / : ( : ' (	sad
963	only hugs you told about dinner	sad
964	i adore hugs but i have n't hugged all that many people lately .	sad
965	i know but very sad	sad
966	i am having fun only with u	angry
967	nuh uh . you never have fun .	angry
968	i just do n't like it .	angry
969	from where ?	others
970	from where you getting them	others
971	who are them ?	others
972	stupid name	angry
973	lol keep it	angry
974	and stupid you	angry
975	what you do n't want to	others
976	anything . i just want to laze about and do nothing .	others
977	except 1 thing	others
978	did you get anu teddy today	happy
979	yep .	happy
980	wowwww	happy
981	i will judge	angry
982	be warned , i will judge the judging of the judge	angry
983	what the hell	angry
984	so sad	sad
985	so sad ? about what ? : ' (	sad
986	your designer have n't told you the difference between coffee and cappuccino	sad
987	we request you to elaborate on what you think you are not the intended recipient you are not the intended recipient	others
988	i thought you said you guys would be there to assist , awaiting your assistance !	others
989	i 'm not sure if you have any questions or need any further information please contact me	others
990	ipl	others
991	not true..no tv . no ipl	others
992	which is ur fav team	others
993	leave whom ? ? ?	sad
994	leave what ?	sad
995	noooooo i 'm feeling veryyyyyyyyyyyyyyyy alone	sad
996	i was so good	others
997	i just wish there was more	others
998	hmm	others
999	i really love it	others
1000	thanks ! ! glad you liked it ! ! 😆	others
1001	please come	others
1002	even you wan na break up with me	sad
1003	then say bluntly . what 's stopping you ?	sad
1004	it 's just , you know , sad	sad
1005	oh really	others
1006	yes yes	others
1007	so what about me	others
1008	what you deal ?	others
1009	how r u alive ? !	others
1010	on food	others
1011	i ca n't believe that	others
1012	you 're lucky !	others
1013	yes	others
1014	yup	others
1015	much needed comment !	others
1016	yeah ... and what about your film collection	others
1017	why	others
1018	because we do n't sign like that	others
1019	boring u r	others
1020	how is dubai.and which job you can do there	others
1021	good yeah ! do tell me when you 're here next time around . how 's dubai ?	others
1022	planning to go next month dubai that 's why iam asking you	others
1023	you stupid ... which color ?	angry
1024	radium colour . .	angry
1025	fuck you r lier	angry
1026	ur language being like kinda language	others
1027	english but i like to speak spanish and italian also .	others
1028	ugh	others
1029	do n't hate me please	angry
1030	why would i ? : -/	angry
1031	cuz i 'm batman	angry
1032	fine wht abt u	sad
